date,description,debit,credit,balance
2026-05-03,5% PRA IT Services Tax,20,,78714.97
2026-05-06,1-Biller charges -20260501,31.25,,78746.22
2026-05-06,1-Biller charges -20260501,31.25,,78777.47
2026-05-06,1-Biller charges -20260501,31.25,,78808.72
2026-05-07,SAJID SUPER STORE Multan PK,860,,79668.72
2026-05-13,Trnx on Alfa-Convenience Fee-26052153810,0.45,,79669.17
2026-05-13,16.00% EXCISE DUTY ON CHARGES,0.07,,79669.24
2026-05-13,Bill-ZONG0001 - 03110039487,60,,79729.24
2026-05-14,AA MART Multan PK,2132,,81861.24
2026-05-15,Bill-MBLINK01 - 03086481917,150,,82011.24
# Opening: Rs 78694.97 | Closing: Rs 82011.24 | Rows: 10 | Period: 2026-05-03 to 2026-05-15
